product_id,product_name,category,price,cost
P137,Smart TV 43 Inch,Electronics,35000,27000
P138,Smart TV 55 Inch,Electronics,55000,42000
P139,Smart TV 65 Inch,Electronics,75000,58000
P140,LED TV 32 Inch,Electronics,16000,12000
P141,Air Purifier,Home Appliances,12000,8500
P142,Air Purifier Pro,Home Appliances,22000,16000
P143,Air Cooler,Home Appliances,9500,6800
P144,Room Heater,Home Appliances,4500,3000
P145,Electric Kettle,Home Appliances,1800,1100
P146,Coffee Maker,Home Appliances,5500,3800
P147,Mixer Grinder,Home Appliances,4500,3000
P148,Microwave Oven,Home Appliances,9500,7000
P149,Electric Oven,Home Appliances,12000,8500
P150,Induction Cooktop,Home Appliances,2800,1800
P151,Refrigerator Mini,Home Appliances,18000,14000
P152,Washing Machine,Home Appliances,28000,22000
P153,Vacuum Cleaner,Home Appliances,8500,6200
P154,Robot Vacuum,Home Appliances,32000,25000
P155,Smart Fan,Home Appliances,4500,3000
P156,DSLR Camera,Cameras,55000,42000
P157,Mirrorless Camera,Cameras,75000,58000
P158,Action Camera,Cameras,28000,21000
P159,Digital Camera,Cameras,18000,13500
P160,Camera Lens 50mm,Cameras,22000,16500
P161,Camera Lens 85mm,Cameras,35000,27000
P162,Wide Angle Lens,Cameras,28000,21000
P163,Camera Tripod,Cameras,3500,2200
P164,Camera Bag,Cameras,2800,1800
P165,Memory Card Pro,Storage,1800,1100
P166,SSD 256GB,Storage,2500,1700
P167,SSD 512GB,Storage,4500,3000
P168,SSD 1TB Internal,Storage,7500,5200
P169,SSD 2TB Internal,Storage,14000,10000
P170,RAM 8GB,Computer Parts,2200,1500
P171,RAM 16GB,Computer Parts,3800,2600
P172,RAM 32GB,Computer Parts,7500,5200
P173,Graphics Card 4GB,Computer Parts,18000,14000
P174,Graphics Card 8GB,Computer Parts,32000,25000
P175,Graphics Card 12GB,Computer Parts,48000,37000
P176,Intel Processor i5,Computer Parts,15000,11500
P177,Intel Processor i7,Computer Parts,28000,22000
P178,AMD Processor R5,Computer Parts,14000,10500
P179,AMD Processor R7,Computer Parts,26000,20000
P180,Motherboard Basic,Computer Parts,7500,5500
P181,Motherboard Pro,Computer Parts,14000,10500
P182,Power Supply 450W,Computer Parts,3500,2500
P183,Power Supply 650W,Computer Parts,5500,4000
P184,Power Supply 850W,Computer Parts,8500,6200
P185,PC Cabinet Basic,Computer Parts,3500,2400
P186,PC Cabinet Gaming,Computer Parts,7500,5200
P187,CPU Cooler,Computer Parts,2800,1800
P188,Liquid CPU Cooler,Computer Parts,6500,4500
P189,Thermal Paste,Computer Parts,500,280
P190,PC Speaker,Audio,1800,1100
P191,Gaming Speaker,Audio,4500,3000
P192,Bluetooth Headphones,Audio,5500,3700
P193,Wired Earphones,Audio,900,550
P194,Premium Earphones,Audio,2500,1600
P195,Smart Home Hub,Home Appliances,4500,3000
P196,Smart Thermostat,Home Appliances,6500,4500
P197,Smart Lock,Home Appliances,9500,6800
P198,Smart Sensor,Home Appliances,1800,1100
P199,Smart Display,Electronics,8500,6000
P200,Smart Speaker,Audio,4500,3000
